position_name,company_name,salary,city,work_years,education,status,job_detail
Python开发工程师,GamesVessel,15k-25k,北京,经验1-3年,本科及以上,全职,"岗位职责：
1、搭建维护统一的机器学习环境；
2、负责机器学习平台的设计、研发工作，包括任务流调度、机器学习系统管理、算法部署、模型在线服务等；
3、设计和实现合理的架构、提升机器学习平台的工程化水平、性能。

任职要求：
1、本科及以上学历；
2、熟悉Python语言以及常用的类库；
3、扎实的面向对象编程思想，具备模块化编程的思维与经验，熟悉Git；
4、了解python Web开发框架如Flask/Django等优先；
5、对代码和设计质量有严格要求，重视Code Review，良好的编程习惯；
6、有良好的沟通能力、优秀的解决问题能力。"
高级python后端开发工程师,学宝,25k-35k·13薪,北京,经验3-5年,本科及以上,全职,"工作职责:
1、负责后台整体设计，技术走向确定、项目研发；
2、负责现有项目架构升级，分析现有系统的瓶颈，提高系统的性能；
3、指导后端开发人员的开发工作，实施内部和外部的培训、技术规范、流程，提高团队整体的技术水平；
4、参与各个项目需求梳理、架构规划讨论，提供技术架构方案、性能优化方案、系统安全方案、系统重构/优化方案等，并支撑技术可行性落地。
任职资格:
1、精通 Python 语言，3年以上 Python Web 开发经验。
2、****以上学历（我们更重视实战经验）；
3、熟练使用Django，对Flask、Tornado、Node等常用开源框架应用经验丰富。对框架本身有过开发、重构者或者参与过开源框架优先考虑；
4、具有分布式、缓存、消息、搜索等工作机制实践经验；熟悉微服架构；
5、具有较强的架构设计能力与代码优化能力，熟悉云环境的大型服务软件的开发；
6、具有复杂业务系统的开发经验；
7、精通Linux环境，熟悉测试开发、运维开发；
8、善于团队合作与管理，理解Python项目技术趋势，能够承受工作压力，有强烈的责任心。能够有效的推进工作落地。"
python开发工程师,拉勾网,15k-30k,北京,经验3-5年,本科及以上,全职,"岗位职责：

1、负责技术运营平台开发；

2、负责IT相关项目的开发以及内网门户的开发；

3、负责公司内部自动化、安全产品的开发，完善平台自动化的能力；



职位要求：

1、具备扎实的计算机基础，能熟练使用 Python 作为**开发语言独立完成项目；

2、掌握 Django 或 Flask 框架，熟练掌握 MySQL 或者 PostgreSQL 数据库使用和运维；

3、有实际的项目上线和运维经验，基本 Linux 服务器运维经验，基本的团队协作和 git 使用技能；

4、熟悉Web 前端开发中任意一种常用框架如：jQuery、Angular.js、Vue.js 等。

加分项：

1、有CICD上线系平台开发背景优先；

2、有大型系统监控设计开发经验优先。"
python开发工程师,茄子快传,4k-6k,北京,在校应届,本科及以上,实习,"职责：
1. 参与公司爬虫平台的架构设计与实现，完成主流内容站点的爬取；
2. 完成需求的分析与梳理，方案设计与实现，技术文档撰写；
3. 持续优化产品，优化爬虫平台系统架构；"
python开发工程师,弘连网络,8k-15k·14薪,上海,经验1-3年,本科及以上,全职,"岗位职责：
 1.本职位主要是参与电子数据取证/分析产品模块设计和研发；
 2.主语言是python，但会涉及go，要求代码能同时运行Windows与Linux平台；
 3.根据项目计划按时完成软件开发和单元测试工作以及Bug修复；
 4.不断学习并运用新的知识提升产品竞争力。
任职要求：
 1.本科及以上学历，思维清晰，沟通良好，具备良好的分析、理解、解决问题的能力；
 2.理解数组，链表，树的等基本数据结构。了解设计模式；
 3.至少有python 1年以上实际项目经验；
 4.了解Linux常用命令，了解TCP/IP协议簇；
 5.熟悉git基本操作。

加分项：
 1.维护技术博客/公众号，或者有开源项目者优先；
 2.有C++/go开发基础者；
 3.有Linux下开发经验者；
 4.有Windows维护经验者（了解注册表，Powershell之类）。"
python开发工程师,涂鸦智能,15k-30k·15薪,杭州,经验3-5年,本科及以上,全职,python 开发工程师职位描述：1、负责公司内部系统的后端功能设计、开发、维护2、根据系统发展，对技术架构不断调整，持续优化职位要求：1 、至少一年以上python web端后台开发经验2、熟练掌握Django、Web.py、Tornado、Flask等至少1个Web开发框架3、有丰富web后端系统性能调优经验优先4、熟悉Linux环境下的开发5、熟悉mysql数据库，有数据库调优经验的优先6、具有良好的技术钻研能力，能够深入底层解决技术难题7、有强烈的责任心和团队精神，善于沟通和合作
Python开发工程师,金蝶账无忧,13k-18k·13薪,深圳,经验3-5年,本科及以上,全职,"岗位职责:1. 设计并开发报税相关业务系统的外部网站数据抓取和自动化登录；2、根据产品规划与需求文档，进行产品模块级或功能级的设计与开发3、针对存在规范、设计、性能和安全问题的代码进行重构和优化任职资格:1、 三年以上基于Python的开发工作经验，计算机相关专业本科以上学历2、熟悉Django或Flask开发框架，有爬虫和机器学习相关工作经验优先考虑3、 熟悉html、js、css等前端开发技术4、熟悉Oracle,MySQL至少一种数据库的设计和开发5、良好的沟通能力及团队合作精神，能承担较强工作压力"
python开发工程师,果壳,10k-16k,北京,经验1-3年,本科及以上,全职,"【岗位职责】
1、根据产品需求制定技术方案，项目计划
2、编写易于维护的高质量代码

【职位要求】
1、本科或以上学历，1年以上网站开发经验，优秀应届生亦可；
2、熟悉Python语言以及常用的类库，掌握基本的计算机、网络和算法知识；
3、扎实的面向对象编程思想，具备模块化编程的思维与经验，熟悉Git；
4、具备较强的逻辑分析能力和学习能力，良好的人际沟通能力和团队协作意识

【加分项】
1、了解python Web开发框架如Flask/Django等优先；
2、熟悉PostgreSQL、Redis、Mongo等常用数据库，具备数据库应用、设计能力；
3、了解docker 等技术者优先；"
python开发工程师,恒鑫环保,20k-30k·14薪,上海,经验5-10年,本科及以上,全职,岗位职责：1.    参与企业大数据平台的开发、建设、测试以及维护。2.    负责大数据平台相关Python数据分析产品的设计开发。3.    负责SDK工具包开发、ETL脚本编写、数据库性能优化等。 岗位要求：1.5年以上的Python应用的开发经验。2. 熟悉Linux系统，精通Shell脚本开发。3. 熟悉SQL开发，精通MySQL关系型数据库。4. 有责任心，具备独立解决问题的能力。 加分项：1、具有大数据ETL和数据仓库应用经验的优先。2、熟悉Pandas、NumPy等数据分析包的优先。3、了解设计模式，具有一定的代码架构设计经验的优先。 工作地点：上海市长宁区 SOHO中山广场B座
Python开发工程师-金融业务,Shopee,20k-30k,深圳,经验3-5年,本科及以上,全职,"岗位职责：
 1、参与客户关系管理系统的后台设计和开发实现，维护Shopee在东南亚多个市场多个产品的员工与客户关系，管理客户入驻、员工绩效和日常工作等；
 2、充分理解Shopee在多个市场多个产品的客户关系并实现系统对接，实现复杂业务逻辑，为前端和客户端提供可靠高效的访问接口；
 3、针对充值、转账、结算等金融场景，实现强安全、高可靠的事务逻辑；
 4、针对不同地区的产品特性、物理环境和监管需求，定义灵活适配的系统功能模块和部署方案
 
 岗位要求：
 1、大学本科及以上学历，2年以上后台开发经验；
 2、熟练掌握Python，熟悉Golang/Java/C++者优先；熟练掌握常规的数据结构、算法和多线程技术；
 3、熟练掌握MySQL/Oracle等数据库读写和常规性能优化方法，熟悉Redis、Kafka等大数据组件的使用；
 4、熟悉Django框架；熟悉分布式架构；熟悉TCP/HTTPS等网络协议；熟悉XML/JSON/ProtoBuf等数据交换格式；
 5、有CRM系统开发经验者优先；有金融系统开发经验者优先；"
Python高级后端开发工程师,Shopee,15k-30k,深圳,经验3-5年,本科及以上,全职,"职业职责﻿
与开发团队共同打造跨境卖家以及业务部门需求的应用，帮助跨境业务持续快速增长
完成端到端的项目执行，从业务需求到开发上线，以及后期升级更新
收集与分析业务部门的功能需求
根据所收集的业务需求，定位技术要点，输出技术解决方案
进行后台开发，并与前端开发相互支持、协助
与业务部门共同进行测试，探讨解决方案部署
有良好的编码习惯，编写高质量、可维护的代码
具备产品思维，不断优化现有产品，发现并解决产品问题，提升产品稳定性，改善用户体验


职业要求
*****本科及以上学历，计算机相关专业
3年及以上Web后台开发经验
熟练使用Python进行后台开发
熟练掌握Web开发框架与技术，如Django, Flask, Node.js等
熟悉HTTP协议
熟悉数据结构、数据库以及其他编程基础
了解DevOps，有源代码控制、CI/CD经验者优先
具备MySQL等数据相关库或组件知识经验者优先
在快速发展的环境下，与其他业务职能团队良好协作、共同成长
积极主动、有责任心，不断自我驱动成长"
